location,recording_date_time,task_method,recording_sample_frequency,task_duration,task_is_complete,observer,task_comments,internal_task_id
DC03,2024-07-07 06:49:00,1SPT,24000,180,FALSE,,,
DC03,2024-07-04 04:20:00,1SPT,24000,180,FALSE,,,
DC07,2024-07-05 04:20:00,1SPT,24000,180,FALSE,,,
DC07,2024-06-19 06:21:00,1SPT,24000,180,FALSE,,,
DC07,2024-06-16 23:20:00,1SPT,24000,180,FALSE,,,
DC10,2024-07-07 04:49:00,1SPT,24000,180,FALSE,,,
DC10,2024-06-19 02:36:00,1SPT,24000,180,FALSE,,,
DC13,2024-06-27 20:37:00,1SPT,24000,180,FALSE,,,
DC13,2024-06-26 04:52:00,1SPT,24000,180,FALSE,,,
DC13,2024-06-15 05:49:00,1SPT,24000,180,FALSE,,,
DC15,2024-06-19 21:06:00,1SPT,24000,180,FALSE,,,
DL01,2024-06-25 21:22:00,1SPT,24000,180,FALSE,,,
DL01,2024-06-25 04:22:00,1SPT,24000,180,FALSE,,,
DL01,2024-06-22 04:22:00,1SPT,24000,180,FALSE,,,
DL01,2024-06-20 05:21:00,1SPT,24000,180,FALSE,,,
DL01,2024-06-19 05:21:00,1SPT,24000,180,FALSE,,,
DL12,2024-07-07 06:04:00,1SPT,24000,180,FALSE,,,
